CustomerID,FirstName,LastName,Gender,Email,Phone,Country,City,LoyaltyLevel,CustomerSince
1,Benjamin,Orozco,Female,iharris@example.org,91-8117306770,India,Kochi,Bronze,2019-06-11
2,Rodney,Wilson,Female,crocha@example.net,91-8806436844,India,Hyderabad,Bronze,2020-11-24
3,Michelle,Nelson,Other,rfuentes@example.com,+91-1210998226,India,Chennai,Platinum,2024-02-02
4,David,Collins,Other,shannonpowers@example.net,+91-1010333957,India,Bangalore,Gold,2015-06-12
5,Antonio,Merritt,Female,candicekim@example.net,+91-5225437323,India,Mysore,Silver,2022-05-13
6,James,Benson,Other,jennifer44@example.org,+91-3022612091,India,Bangalore,Gold,2021-10-01
7,Timothy,King,Other,ncaldwell@example.org,208.592.7562,Mexico,Tokyo,Silver,2022-06-21
8,Jessica,Smith,Male,markfox@example.org,+91-6270212447,India,Madurai,Bronze,2018-06-11
9,Jeffrey,Romero,Other,courtneyperry@example.com,+91-6446864559,India,Hyderabad,Bronze,2020-01-28
10,Michele,Mejia,Male,obrooks@example.com,001-875-527-5255x33020,Myanmar,Los Angeles,Silver,2016-12-18
11,Stephen,Gonzalez,Other,sullivannathan@example.net,(487)470-5920x308,Central African Republic,Singapore,Silver,2015-10-27
12,Eugene,Jones,Female,shelby89@example.com,+91-2924566510,India,Chennai,Gold,2024-06-01
13,Audrey,Hernandez,Female,danielsamanda@example.com,+91-1018239565,India,Coimbatore,Silver,2019-05-08
14,Jennifer,Griffith,Male,carrie03@example.com,+91-2637187264,India,Hyderabad,Gold,2017-12-20
15,Sean,Mitchell,Male,kmcclain@example.net,001-515-352-5286x47684,Peru,London,Bronze,2015-11-23
16,Janet,Kim,Male,shammond@example.net,(610)376-8090,Bahrain,Los Angeles,Silver,2020-08-22
17,Brady,Smith,Other,jamesdaniel@example.com,+91-495943148,India,Visakhapatnam,Bronze,2022-11-09
18,Marissa,Walker,Female,lzhang@example.net,+91-8589061994,India,Hyderabad,Gold,2021-12-02
19,Robert,Clayton,Male,johnsonanthony@example.net,+91-2300105379,India,Mysore,Bronze,2020-11-17
20,Catherine,Martin,Female,linda20@example.com,+91-1946998210,India,Bangalore,Gold,2021-05-08
21,Matthew,Pugh,Male,robertsmichael@example.net,+91-9473141099,India,Vijayawada,Bronze,2019-03-23
22,Sandra,Flores,Female,etaylor@example.org,+91-3953145004,India,Visakhapatnam,Silver,2024-01-28
23,Gabriel,Flores,Other,stephaniewhite@example.com,351-508-0724x468,Croatia,Toronto,Gold,2023-11-14
24,Sara,Brooks,Other,agray@example.net,+91-7379926520,India,Visakhapatnam,Platinum,2020-06-21
25,Michael,Perkins,Other,robert55@example.org,+91-8968222620,India,Coimbatore,Bronze,2023-07-27
26,Destiny,Marquez,Female,millermichael@example.com,+91-5295421570,India,Kochi,Bronze,2024-04-21
27,Timothy,Reynolds,Other,david22@example.net,+91-7825690277,India,Kochi,Bronze,2018-07-13
28,Robin,Bruce,Other,sydneymurphy@example.com,+91-6769317741,India,Thiruvananthapuram,Platinum,2024-09-12
29,Emily,Powell,Male,greyes@example.org,+91-2528465547,India,Kochi,Bronze,2020-04-28
30,Vincent,Rice,Other,mavila@example.org,+91-5485306139,India,Kochi,Bronze,2017-01-11
31,Jennifer,Marquez,Other,russojose@example.org,+91-9405282771,India,Chennai,Bronze,2018-09-28
32,Stephanie,Hunter,Female,williamsannette@example.net,+91-3711940058,India,Chennai,Bronze,2016-10-13
33,Ebony,Townsend,Female,mlove@example.com,+91-8217420399,India,Thiruvananthapuram,Platinum,2020-12-25
34,Charles,Hall,Male,sandersjamie@example.com,+91-5530158740,India,Mysore,Bronze,2024-04-20
35,Marcus,Harris,Male,mary63@example.org,+91-9232123044,India,Thiruvananthapuram,Gold,2021-09-18
36,Victoria,Dickson,Other,nicholas15@example.com,+91-7021595843,India,Kochi,Gold,2016-06-26
37,Angel,Yates,Other,matthew83@example.org,+91-73831863,India,Madurai,Silver,2020-07-31
38,Jack,Powell,Other,emitchell@example.com,+91-1442764059,India,Hyderabad,Bronze,2015-09-29
39,Nicole,Gibson,Other,vincent85@example.com,+91-2087598078,India,Bangalore,Bronze,2022-02-16
40,Kathy,Rich,Other,mariajones@example.net,+91-7929295725,India,Coimbatore,Bronze,2024-03-06
41,Kurt,Kaiser,Female,rojasmary@example.com,+91-5414221886,India,Chennai,Gold,2024-08-07
42,Lori,Chaney,Male,david68@example.org,+91-5260662320,India,Thiruvananthapuram,Bronze,2020-11-23
43,Luis,Duncan,Female,tcollins@example.net,+91-6280720873,India,Bangalore,Bronze,2020-05-05
44,Sandra,Rogers,Male,cmills@example.net,+91-5805118448,India,Hyderabad,Bronze,2019-08-31
45,Richard,Miles,Male,nathanramos@example.net,+91-2287326731,India,Visakhapatnam,Gold,2020-12-26
46,Jeff,Schroeder,Other,henryhickman@example.org,+91-197166328,India,Vijayawada,Bronze,2016-06-30
47,Andrea,Adams,Female,kaitlin95@example.net,+91-2006960797,India,Mysore,Gold,2021-02-20
48,Andrea,Yates,Female,lisa48@example.com,+91-2042310753,India,Bangalore,Bronze,2018-07-27
